date,shapeID,shapeName,mapping_method,gefs_mean_mm,gefs_max_mm,observed_mean_mm,observed_max_mm,heavy_probability_mean,heavy_probability_max,very_heavy_probability_max,grid_cells,risk_level,very_heavy_experimental,correction_raw_mean_mm,global_corrected_mean_mm,global_corrected_max_mm,regime_corrected_mean_mm,regime_corrected_max_mm,regime_adjustment_mm,global_adjustment_mm
2018-07-27,76128533B16476001647323,Panch Mahals,contained_grid,4.1575003,4.7200003,0.0,0.0,0.003006096,0.005104376,0.00018253089,4,Low Modelled Signal,False,4.1575003,0.0,0.0,0.0,0.0,-4.1575003,-4.1575003
2018-07-27,76128533B16628456658675,Chamarajanagar,contained_grid,0.07714286,0.32000002,0.9423214,4.025,0.0001279411,0.00023697563,4.1549287e-05,7,Low Modelled Signal,False,0.07714286,0.0,0.0,0.0,0.0,-0.07714286,-0.07714286
2018-07-27,76128533B16674973717653,Katni,contained_grid,15.86375,19.74,0.3009375,1.0,0.011457909,0.012755431,0.00090167247,8,Low Modelled Signal,False,15.86375,10.469342,14.3455925,10.453821,14.330071,-5.4099293,-5.394408
2018-07-27,76128533B16749627383755,Hailakandi,contained_grid,14.869999,17.81,9.803749,11.7474985,0.007102614,0.009787125,0.00052566803,2,Low Modelled Signal,False,14.869999,9.475592,12.415592,9.460072,12.400071,-5.4099274,-5.3944073
2018-07-27,76128533B16781044866906,Jamui,contained_grid,8.934999,11.16,29.76,38.46,0.012074102,0.018061223,0.0005109966,4,Low Modelled Signal,False,8.934999,3.5405922,5.765592,3.5250716,5.7500715,-5.409928,-5.3944073
2018-07-27,76128533B16811573188243,Puruliya,contained_grid,3.9377775,12.82,13.448055,27.947498,0.0071320035,0.020104533,0.00047870973,9,Low Modelled Signal,False,3.9377775,0.93124264,7.425592,0.92779374,7.4100714,-3.0099838,-3.0065348
2018-07-27,76128533B16889790752134,Ariyalur,contained_grid,0.8300001,1.3600001,0.027500002,0.0825,0.000101716876,0.000118405966,1.9630734e-05,3,Low Modelled Signal,False,0.8300001,0.0,0.0,0.0,0.0,-0.8300001,-0.8300001
2018-07-27,76128533B17109302371020,Darjiling,contained_grid,45.103333,73.1,6.861666,9.73,0.025320932,0.032888953,0.0029791573,3,Low Modelled Signal,False,45.103333,39.708923,67.70559,39.693405,67.69007,-5.4099274,-5.394409
2018-07-27,76128533B1711704044407,North Goa,contained_grid,15.24,15.49,0.77,0.885,0.01339535,0.016222084,0.00122941,2,Low Modelled Signal,False,15.24,9.8455925,10.0955925,9.830071,10.080071,-5.4099283,-5.3944073
2018-07-27,76128533B17261532861377,Jamtara,contained_grid,9.22,11.78,24.742914,27.544992,0.015304674,0.019015847,0.0003117957,3,Low Modelled Signal,False,9.22,3.825592,6.385592,3.8100712,6.3700714,-5.4099293,-5.394408
2018-07-27,76128533B17292264941997,Mungeli,contained_grid,23.005,30.32,1.3171874,2.6999998,0.02371705,0.032502823,0.0019434133,4,Low Modelled Signal,False,23.005,17.610592,24.925592,17.595072,24.910072,-5.4099274,-5.3944073
2018-07-27,76128533B17472905712757,Papum Pare,contained_grid,19.932001,25.81,34.14525,60.9825,0.011154244,0.013228928,0.0005299969,5,Low Modelled Signal,False,19.932001,14.537593,20.415592,14.522072,20.40007,-5.4099293,-5.394408
2018-07-27,76128533B17762399278073,Pashchim Champaran,contained_grid,38.4825,50.569996,14.034531,21.105,0.022983255,0.03735647,0.014975613,8,Low Modelled Signal,False,38.4825,33.088093,45.175587,33.07257,45.16007,-5.4099274,-5.3944054
2018-07-27,76128533B17968019348564,Morigaon,contained_grid,37.045002,40.570004,10.415,14.475,0.018327136,0.02123437,0.0013458215,2,Low Modelled Signal,False,37.045002,31.650593,35.175594,31.635075,35.160076,-5.4099274,-5.394409
2018-07-27,76128533B18243475101734,Mirzapur,contained_grid,7.0150003,9.490001,3.1062498,4.8275,0.0061933943,0.008698858,0.00017037435,4,Low Modelled Signal,False,7.0150003,1.6205925,4.095593,1.6050719,4.0800724,-5.4099283,-5.3944077
2018-07-27,76128533B18648944871057,Basti,contained_grid,5.1450005,14.460001,7.86625,15.85,0.008540501,0.022363039,0.0034549483,4,Low Modelled Signal,False,5.1450005,2.2663984,9.065594,2.2625182,9.050073,-2.8824823,-2.878602
2018-07-27,76128533B18668117085772,Tawang,contained_grid,8.704,12.06,6.304,12.315,0.0033279695,0.0068878997,0.00010625892,5,Low Modelled Signal,False,8.704,3.309592,6.6655927,3.2940717,6.650072,-5.409929,-5.394408
2018-07-27,76128533B1875965515331,Namsai,contained_grid,34.895,45.780003,2.9299998,3.2999997,0.01321598,0.015068058,0.00018361869,2,Low Modelled Signal,False,34.895,29.500591,40.385593,29.485073,40.370075,-5.4099274,-5.394409
2018-07-27,76128533B18802630191461,Dumka,contained_grid,18.130001,23.039999,20.150501,25.460005,0.023836948,0.032584082,0.0012075799,5,Low Modelled Signal,False,18.130001,12.735593,17.645592,12.720072,17.63007,-5.4099293,-5.394408
2018-07-27,76128533B18834172694083,Moga,contained_grid,9.32,14.389999,0.50624996,1.1099999,0.009059252,0.012075264,0.0009394614,4,Low Modelled Signal,False,9.32,3.9591942,8.995592,3.9475536,8.980071,-5.372446,-5.3608055
2018-07-27,76128533B18931932305748,Purbi Singhbhum,contained_grid,16.156,19.91,3.0664997,8.704999,0.03840105,0.04909407,0.002276956,5,Low Modelled Signal,False,16.156,10.761592,14.515593,10.746072,14.500072,-5.4099283,-5.394408
2018-07-27,76128533B19335918192159,Karur,contained_grid,0.05333333,0.11,0.20291667,0.26999998,0.00014850947,0.00018120777,1.7345863e-05,3,Low Modelled Signal,False,0.05333333,0.0,0.0,0.0,0.0,-0.05333333,-0.05333333
2018-07-27,76128533B19341883513630,Ratlam,contained_grid,4.51375,5.62,0.0112499995,0.089999996,0.0018011917,0.002460336,0.00010267751,8,Low Modelled Signal,False,4.51375,0.028199017,0.22559214,0.026258945,0.21007156,-4.487491,-4.485551
2018-07-27,76128533B19545859035458,Kallakurichi,contained_grid,0.358,0.6,0.198,0.43,0.000106827225,0.00013166778,1.9630734e-05,5,Low Modelled Signal,False,0.358,0.0,0.0,0.0,0.0,-0.358,-0.358
2018-07-27,76128533B19581555782120,Palakkad,contained_grid,5.6216664,9.179999,1.20125,2.5449998,0.00092381565,0.0015216937,8.424945e-05,6,Low Modelled Signal,False,5.6216664,1.0161294,3.7855916,1.0083691,3.770071,-4.6132975,-4.605537
2018-07-27,76128533B19630094725383,Pathankot,contained_grid,28.000002,28.000002,7.1800003,7.1800003,0.010773876,0.010773876,8.386824e-05,1,Low Modelled Signal,False,28.000002,22.605595,22.605595,22.590073,22.590073,-5.4099293,-5.3944073
2018-07-27,76128533B19792346411952,West Godavari,contained_grid,1.7963637,4.95,2.2060225,6.065,0.00052461843,0.002082822,0.00024352338,11,Low Modelled Signal,False,1.7963637,0.0,0.0,0.0,0.0,-1.7963637,-1.7963637
2018-07-27,76128533B19832024635761,Central,nearest_grid,6.69,6.69,26.900005,26.900005,0.024906497,0.024906497,0.00021722532,1,Low Modelled Signal,False,6.69,1.2955923,1.2955923,1.2800717,1.2800717,-5.4099283,-5.3944077
2018-07-27,76128533B19898496046456,Kamle,contained_grid,47.556667,67.369995,45.589996,51.4825,0.015578657,0.018121524,0.00040785637,3,Low Modelled Signal,False,47.556667,42.16226,61.975586,42.14674,61.960068,-5.4099274,-5.394409
2018-07-27,76128533B19903856317609,Saran,contained_grid,11.554001,15.640001,21.736752,31.995003,0.010797414,0.011564254,0.00016124712,5,Low Modelled Signal,False,11.554001,6.159593,10.245594,6.1440725,10.230073,-5.4099283,-5.3944077
2018-07-27,76128533B1996088953603,Sultanpur,contained_grid,2.635,3.1399999,4.2781253,11.767501,0.0014195764,0.0014756594,0.00011249528,4,Low Modelled Signal,False,2.635,0.0,0.0,0.0,0.0,-2.635,-2.635
2018-07-27,76128533B20298037622173,South Salmara-Mankachar,nearest_grid,26.17,26.17,6.6524565e-14,6.6524565e-14,0.0056145187,0.0056145187,0.0003733621,1,Low Modelled Signal,False,26.17,20.775593,20.775593,20.76007,20.76007,-5.4099293,-5.3944073
2018-07-27,76128533B20307518801538,Udalguri,contained_grid,18.396667,21.82,14.311667,21.32,0.012683983,0.01451469,0.0007508727,3,Low Modelled Signal,False,18.396667,13.002259,16.425592,12.986739,16.410072,-5.4099283,-5.394408
2018-07-27,76128533B20458430922604,Kishtwar,contained_grid,9.107693,12.150001,1.9687499,4.515,0.00077811664,0.0011363047,5.309016e-05,13,Low Modelled Signal,False,9.107693,3.8193474,6.755593,3.8062146,6.7400723,-5.3014784,-5.2883453
