date,geographic_regime_code,geographic_regime,valid_pairs,mean_rainfall_mm,bias_mm,mae_mm,rmse_mm,correlation,agreement_score
2018-07-19,3,Coastal orographic,102.0,20.104896545410156,1.3087804317474365,22.216184616088867,29.18533706665039,-0.07685417357179236,0.5035085678100586
2018-07-20,0,Interior plain,3108.0,10.256158828735352,5.307315349578857,13.49003791809082,22.41690444946289,0.15607039192949257,0.5786513686180115
2018-07-20,1,Coastal plain,479.0,15.963944435119629,6.568472385406494,16.41126251220703,25.852251052856445,0.34286360042263614,0.581661581993103
2018-07-20,2,Interior orographic,943.0,7.11355447769165,6.998128890991211,9.428833961486816,16.29669952392578,0.4390014447605534,0.6254959106445312
2018-07-20,3,Coastal orographic,102.0,29.06136131286621,2.221572160720825,26.782129287719727,36.769718170166016,0.21441106041625968,0.5539953112602234
2018-07-21,0,Interior plain,3108.0,11.389420509338379,3.655050277709961,12.499307632446289,23.117448806762695,0.3325164573101834,0.6236288547515869
2018-07-21,1,Coastal plain,479.0,16.834360122680664,-7.7799787521362305,14.633992195129395,27.832233428955078,0.5737583000249541,0.6559520959854126
2018-07-21,2,Interior orographic,943.0,9.255402565002441,3.1163854598999023,9.962597846984863,18.215621948242188,0.47737047025672236,0.6432455778121948
2018-07-21,3,Coastal orographic,102.0,28.328954696655273,-19.683101654052734,25.212129592895508,35.044429779052734,0.5433312970970148,0.5526825189590454
2018-07-22,0,Interior plain,3108.0,12.61613941192627,-0.013587195426225662,12.70875072479248,27.54785919189453,0.33248121599036584,0.6460116505622864
2018-07-22,1,Coastal plain,479.0,11.804200172424316,-12.062110900878906,13.916192054748535,25.981460571289062,0.49988980481999185,0.672590434551239
2018-07-22,2,Interior orographic,943.0,9.805266380310059,-2.9970579147338867,10.512696266174316,18.977153778076172,0.3019900004175342,0.6500738263130188
2018-07-22,3,Coastal orographic,102.0,15.722153663635254,-23.417150497436523,23.482864379882812,31.724313735961914,0.6517745792624549,0.48049506545066833
2018-07-23,0,Interior plain,3108.0,10.080848693847656,-1.7530444860458374,10.914278984069824,17.854900360107422,0.2849297908598569,0.6407240033149719
2018-07-23,1,Coastal plain,479.0,7.215364456176758,-2.676490306854248,8.780740737915039,16.09623908996582,0.2954534665273852,0.6921364068984985
2018-07-23,2,Interior orographic,943.0,9.63688850402832,3.4313411712646484,11.301753044128418,18.253969192504883,0.11185920742212666,0.5899416208267212
2018-07-23,3,Coastal orographic,102.0,10.423723220825195,-11.322665214538574,13.193984031677246,19.60770034790039,0.38862050632146555,0.6080211400985718
2018-07-24,0,Interior plain,3108.0,7.70952033996582,-0.7297509908676147,9.4041748046875,16.10696792602539,0.2767380639973253,0.6452206373214722
2018-07-24,1,Coastal plain,479.0,5.930481910705566,-0.9636257290840149,7.257571697235107,12.887383460998535,0.3592152543712207,0.660274088382721
2018-07-24,2,Interior orographic,943.0,10.775632858276367,-2.272073984146118,12.18289566040039,20.396392822265625,0.17478535888980867,0.5939404368400574
2018-07-24,3,Coastal orographic,102.0,10.433714866638184,-12.796226501464844,14.647377014160156,22.363710403442383,0.31668472754965854,0.5766071081161499
2018-07-25,0,Interior plain,3108.0,10.500675201416016,6.08568811416626,12.24459171295166,22.015748977661133,0.32475800398676985,0.6443074345588684
2018-07-25,1,Coastal plain,479.0,7.076839447021484,2.9468843936920166,10.687346458435059,18.969602584838867,-0.048701985506811776,0.604304850101471
2018-07-25,2,Interior orographic,943.0,8.945651054382324,1.4692506790161133,10.081122398376465,16.691448211669922,0.19955165527841998,0.6090553402900696
2018-07-25,3,Coastal orographic,102.0,10.504158973693848,-13.231110572814941,15.721571922302246,23.7036190032959,0.09001189408052475,0.5540090203285217
2018-07-26,0,Interior plain,3108.0,10.628833770751953,-2.108433723449707,9.590129852294922,18.12646484375,0.4720207722648439,0.7024921774864197
