shapeID,shapeName,date,mapping_method,gefs_mean_mm,gefs_max_mm,observed_mean_mm,observed_max_mm,heavy_probability_mean,heavy_probability_max,very_heavy_probability_max,grid_cells,risk_level,very_heavy_experimental,correction_raw_mean_mm,global_corrected_mean_mm,global_corrected_max_mm,regime_corrected_mean_mm,regime_corrected_max_mm,regime_adjustment_mm,global_adjustment_mm
76128533B13791982054894,Bathinda,2018-07-27,contained_grid,2.6471426,4.85,0.0,0.0,0.0026287267,0.0052612661,0.00018319023,7,Low Modelled Signal,False,2.6471426,0.0,0.0,0.0,0.0,-2.6471426,-2.6471426
76128533B48885555323596,Batod,2018-07-27,contained_grid,0.62,0.72999996,0.27906251,0.91,0.00029001714,0.0007361396,2.2439681e-05,4,Low Modelled Signal,False,0.62,0.0,0.0,0.0,0.0,-0.62,-0.62
76128533B84772375641700,Baudh,2018-07-27,contained_grid,7.87,9.6400003,1.3209375,3.71,0.0056844354,0.0063263914,0.0018651984,4,Low Modelled Signal,False,7.87,2.4755921,4.2455926,2.4600716,4.230072,-5.4099283,-5.3944077
76128533B5855800361016,Begusarai,2018-07-27,contained_grid,6.9950004,7.0400009,21.119375,21.634998,0.0075099594,0.0076456168,0.0004089571,2,Low Modelled Signal,False,6.9950004,1.6005926,1.6455932,1.585072,1.6300726,-5.4099283,-5.3944077
76128533B74319098136622,Belgaum,2018-07-27,contained_grid,2.5470588,8.5299997,0.41485292,2.34,0.0012230419,0.0064245909,0.00057211221,17,Low Modelled Signal,False,2.5470588,0.255952,3.135592,0.25412604,3.1200714,-2.2929327,-2.2911067
76128533B92621859299479,Bellary,2018-07-27,contained_grid,0.40909091,1.26,0.235,0.77,0.00013074711,0.00016435684,2.7077976e-05,11,Low Modelled Signal,False,0.40909091,0.0,0.0,0.0,0.0,-0.40909091,-0.40909091
76128533B73736605657091,Bemetra,2018-07-27,contained_grid,4.8900003,8.1200008,3.3345833,4.2250004,0.0046815262,0.01059472,0.0014286694,3,Low Modelled Signal,False,4.8900003,0.90853101,2.7255931,0.90335751,2.7100725,-3.9866428,-3.9814694
76128533B82559220423608,Betul,2018-07-27,contained_grid,4.0831251,6.8399997,0.049296875,0.315,0.0016050705,0.0031096595,0.00059356319,16,Low Modelled Signal,False,4.0831251,0.16167355,1.4455919,0.15876344,1.4300714,-3.9243617,-3.9214516
76128533B30246762498957,Bhadradri,2018-07-27,contained_grid,4.961875,11.67,1.7089062,4.73875,0.0015853751,0.0036436436,0.00030315015,16,Low Modelled Signal,False,4.961875,1.5908473,6.2755923,1.585027,6.2600718,-3.376848,-3.3710277
76128533B58797478961083,Bhadrak,2018-07-27,contained_grid,7.9050002,10.830001,8.5931244,9.4587498,0.022432597,0.034752659,0.004356476,2,Low Modelled Signal,False,7.9050002,2.7177966,5.4355931,2.7100363,5.4200726,-5.1949639,-5.1872034
76128533B83462627230182,Bhagalpur,2018-07-27,contained_grid,7.7400002,11.400001,19.546667,30.099998,0.0089393621,0.014390852,0.00037433414,3,Low Modelled Signal,False,7.7400002,2.7537282,6.0055928,2.7433815,5.9900723,-4.9966187,-4.9862719
76128533B14243635342908,Bhandara,2018-07-27,contained_grid,2.3466666,3.8200004,0.27250001,0.44749999,0.00046245547,0.0005844392,0.00010744519,6,Low Modelled Signal,False,2.3466666,0.0,0.0,0.0,0.0,-2.3466666,-2.3466666
76128533B25576352747885,Bharatpur,2018-07-27,contained_grid,21.078571,33.43,11.224998,19.842499,0.057484843,0.11519177,0.0014914589,7,Heavy Rain Watch,False,21.078571,15.684164,28.035593,15.668643,28.020073,-5.4099283,-5.3944073
76128533B63599385776584,Bharuch,2018-07-27,contained_grid,2.7185714,3.9,0.07642857,0.31749997,0.00052998675,0.0010028677,0.00012759624,7,Low Modelled Signal,False,2.7185714,0.0,0.0,0.0,0.0,-2.7185714,-2.7185714
76128533B93450974047240,Bhavnagar,2018-07-27,contained_grid,1.0036364,1.9000001,0.08715909,0.49874997,0.00033189703,0.00068780658,4.7609814e-05,11,Low Modelled Signal,False,1.0036364,0.0,0.0,0.0,0.0,-1.0036364,-1.0036364
